1|Niger|    51.08
2|Uganda|    47.55
3|Mali|    46.09
4|Zambia|    44.63
5|Burkina Faso|    43.98
6|Ethiopia|    43.34
7|Angola|    43.33
8|Somalia|    43.33
9|Congo, Democratic Republic of the|    42.26
10|Burundi|    41.43
11|Malawi|    41.28
12|Congo, Republic of the|    41.01
13|Chad|    40.12
14|Sao Tome and Principe|    39.09
15|Sierra Leone|    38.79
16|Mayotte|    38.76
17|Benin|    38.67
18|Liberia|    38.14
19|Afghanistan|    38.11
20|Madagascar|    37.89
21|Mozambique|    37.80
22|Gambia, The|    37.31
23|Senegal|    37.27
24|Rwanda|    37.26
25|Guinea|    37.21
26|Central African Republic|    36.79
27|Sudan|    36.58
28|Gaza Strip|    36.26
29|Nigeria|    36.07
30|Equatorial Guinea|    36.00
31|Togo|    35.88
32|Guinea-Bissau|    35.56
33|Gabon|    35.39
34|Kenya|    35.14
35|Comoros|    34.71
36|Yemen|    34.37
37|Mauritania|    33.67
38|Cameroon|    33.58
39|Eritrea|    33.48
40|Tanzania|    33.44
41|Western Sahara|    32.56
42|Zimbabwe|    31.57
43|Cote dIvoire|    31.48
44|Marshall Islands|    29.94
45|Iraq|    29.41
46|Solomon Islands|    28.60
47|Nauru|    28.16
48|Ghana|    28.09
49|Guatemala|    27.40
50|Lesotho|    27.17
51|Swaziland|    27.12
52|Jordan|    27.06
53|Papua New Guinea|    26.95
54|Belize|    26.84
55|Laos|    26.57
56|Tajikistan|    26.49
57|Timor-Leste|    25.93
58|Philippines|    25.68
59|Honduras|    25.61
60|Cambodia|    25.58
61|Djibouti|    25.58
62|Pakistan|    25.30
63|Bolivia|    25.16
64|Egypt|    25.02
65|West Bank|    24.91
66|Libya|    24.58
67|Syria|    24.44
68|Haiti|    24.40
69|Oman|    23.90
70|Kyrgyzstan|    23.58
71|Bangladesh|    23.43
72|Kiribati|    23.06
73|American Samoa|    23.05
74|Tuvalu|    23.01
75|Samoa|    22.92
76|Nicaragua|    22.77
77|Micronesia, Federated States of|    22.57
78|Botswana|    22.54
79|Nepal|    22.43
80|Namibia|    21.82
81|Cape Verde|    21.67
82|Kuwait|    21.64
83|Fiji|    21.52
84|Malaysia|    21.41
85|India|    21.34
86|Vanuatu|    21.08
87|Northern Mariana Islands|    21.05
88|Mongolia|    21.03
89|Turks and Caicos Islands|    20.44
90|Ecuador|    20.32
91|Venezuela|    20.29
92|Dominican Republic|    19.90
93|World|    19.86
94|Panama|    19.71
95|Bhutan|    19.62
96|Turkmenistan|    19.62
97|South Africa|    19.61
98|Israel|    19.51
99|Burma|    19.49
100|Jamaica|    19.47
101|Saudi Arabia|    19.43
102|Morocco|    19.40
103|Mexico|    19.39
104|Peru|    19.00
105|Iran|    18.52
106|Indonesia|    18.45
107|Turkey|    18.28
108|Brazil|    18.11
109|El Salvador|    18.06
110|Brunei|    18.00
111|Tonga|    17.78
112|Colombia|    17.76
113|Argentina|    17.75
114|Azerbaijan|    17.75
115|Paraguay|    17.73
116|Guyana|    17.61
117|Uzbekistan|    17.51
118|Vietnam|    17.29
119|Grenada|    17.20
120|Bahrain|    16.81
121|Algeria|    16.71
122|Kazakhstan|    16.66
123|Costa Rica|    16.65
124|Suriname|    16.61
125|New Caledonia|    16.52
126|Antigua and Barbuda|    16.43
127|Ireland|    16.37
128|Bahamas, The|    16.25
129|United Arab Emirates|    15.98
130|Sri Lanka|    15.88
131|Dominica|    15.68
132|Cook Islands|    15.67
133|French Polynesia|    15.67
134|Qatar|    15.54
135|Seychelles|    15.53
136|Tunisia|    15.31
137|Lebanon|    15.10
138|Saint Vincent and the Grenadines|    14.89
139|Saint Lucia|    14.81
140|Greenland|    14.68
141|Korea, North|    14.58
142|British Virgin Islands|    14.52
143|Maldives|    14.50
144|Chile|    14.46
145|Trinidad and Tobago|    14.37
146|Saint Kitts and Nevis|    14.23
147|Gibraltar|    14.20
148|Mauritius|    14.17
149|Wallis and Futuna|    14.08
150|Netherlands Antilles|    14.05
151|United States|    13.83
152|New Zealand|    13.81
153|Uruguay|    13.67
154|Iceland|    13.36
155|Thailand|    13.01
156|Anguilla|    13.00
157|Faroe Islands|    12.90
158|Aruba|    12.77
159|Armenia|    12.74
160|Barbados|    12.43
161|France|    12.43
162|Australia|    12.39
163|United Kingdom|    12.34
164|Cayman Islands|    12.29
165|China|    12.17
166|Macedonia|    11.92
167|Albania|    11.88
168|Montserrat|    11.72
169|Luxembourg|    11.70
170|Isle of Man|    11.54
171|Virgin Islands|    11.51
172|Bermuda|    11.47
173|Puerto Rico|    11.42
174|Cyprus|    11.38
175|Moldova|    11.16
176|Russia|    11.11
177|Montenegro|    11.09
178|Cuba|    11.02
179|Saint Helena, Ascension, and Tristan da Cunha|    10.95
180|Spain|    10.91
181|Norway|    10.90
182|Jersey|    10.73
183|Georgia|    10.70
184|Palau|    10.68
185|Slovakia|    10.55
186|Estonia|    10.42
187|Denmark|    10.40
188|Malta|    10.38
189|Finland|    10.37
190|Netherlands|    10.30
191|Canada|    10.28
192|Guernsey|    10.25
193|Sweden|    10.14
194|Portugal|    10.12
195|Belgium|    10.10
196|Poland|    10.04
197|Andorra|    10.03
198|Latvia|     9.90
199|Belarus|     9.76
200|Hungary|     9.70
201|Liechtenstein|     9.69
202|Croatia|     9.63
203|Ukraine|     9.62
204|Romania|     9.58
205|Switzerland|     9.56
206|Bulgaria|     9.43
207|Greece|     9.34
208|Lithuania|     9.21
209|Serbia|     9.20
210|San Marino|     9.18
211|Macau|     8.98
212|Taiwan|     8.97
213|Slovenia|     8.92
214|Bosnia and Herzegovina|     8.87
215|Czech Republic|     8.76
216|Korea, South|     8.72
217|Austria|     8.65
218|Singapore|     8.65
219|Saint Pierre and Miquelon|     8.58
220|Germany|     8.21
221|Italy|     8.01
222|Hong Kong|     7.45
223|Japan|     7.41
224|Monaco|     7.03
